pais,sector,isco,empleo,n_obs,alpha,beta,zeta,capa,label
Costa Rica,Resto,2511,17429.0,152,0.3333333333333333,0.6141025641025641,0.9474358974358974,Profesionales e ingeniería,Systems analysts
Costa Rica,Resto,5412,16090.0,325,0.0977932636469221,0.2932926829268292,0.3910859465737514,Servicios y ventas,Police officers
Costa Rica,Resto,9412,15934.5,284,0.010752688172043,0.0161290322580645,0.0268817204301075,Ocupaciones elementales,Kitchen helpers
Costa Rica,Resto,8331,15813.0,256,0.2385942360013567,0.3158299324514494,0.5544241684528062,Operadores de planta y máquinas,Bus and tram drivers
Costa Rica,Resto,6111,15077.0,380,0.0666666666666666,0.1416666666666666,0.2083333333333333,Agropecuario calificado,Field crop and vegetable growers
Costa Rica,Resto,7522,14895.5,135,0.0928571428571428,0.153327922077922,0.2461850649350649,Oficios y artesanía,Cabinet-makers and related workers
Costa Rica,Resto,9321,14029.0,259,0.0833333333333333,0.0833333333333333,0.1666666666666666,Ocupaciones elementales,Hand packers
Costa Rica,Resto,5211,13824.0,309,0.1666666666666667,0.25,0.4166666666666667,Servicios y ventas,Stall and market salespersons
Costa Rica,Resto,5131,12740.0,309,0.0757142857142857,0.1614285714285714,0.2371428571428571,Servicios y ventas,Waiters
Costa Rica,Resto,3313,12460.5,129,0.5666666666666667,0.7833333333333333,1.0,Técnicos y profesionales asociados,Accounting associate professionals
Costa Rica,Resto,5246,12155.0,161,0.0425531914893617,0.0709219858156028,0.1134751773049645,Servicios y ventas,Food service counter attendants
Costa Rica,Resto,7212,12130.25,190,0.067816091954023,0.0847701149425287,0.1525862068965517,Oficios y artesanía,Welders and flamecutters
Costa Rica,Resto,2310,11175.0,80,0.1941691997427701,0.4817105886228824,0.6758797883656525,Profesionales e ingeniería,University and higher education teachers
Costa Rica,Resto,3512,11025.25,81,0.4375,0.59375,1.0,Técnicos y profesionales asociados,Information and communications technology user support technicians
Costa Rica,Resto,5222,11002.5,135,0.0952380952380952,0.5,0.5952380952380952,Servicios y ventas,Shop supervisors
Costa Rica,Resto,6121,10794.0,303,0.1083333333333333,0.2145833333333333,0.3229166666666666,Agropecuario calificado,Livestock and dairy producers
Costa Rica,Resto,5322,10641.25,132,0.1192919911186165,0.2200988210276135,0.33939081214623,Servicios y ventas,Home-based personal care workers
Costa Rica,Resto,2211,10522.5,83,0.0096152259866079,0.4407874326947311,0.450402658681339,Profesionales e ingeniería,Generalist medical practitioners
Costa Rica,Resto,3411,10270.5,98,0.1460870313037496,0.4026552287581699,0.5487422600619195,Técnicos y profesionales asociados,Legal and related associate professionals
Costa Rica,Resto,7422,9428.25,98,0.1486580086580086,0.2455844155844156,0.3942424242424243,Oficios y artesanía,Information and communications technology installers and servicers
Costa Rica,Resto,2342,9116.5,143,0.0564387917329093,0.2251589825119236,0.281597774244833,Profesionales e ingeniería,Early childhood educators
Costa Rica,Resto,7411,8589.0,128,0.0476190476190476,0.1291208791208791,0.1767399267399267,Oficios y artesanía,Building and related electricians
Costa Rica,Resto,3341,8583.5,63,0.0689655172413793,0.4827586206896552,0.5517241379310345,Técnicos y profesionales asociados,Office supervisors
Costa Rica,Resto,9334,8326.75,156,0.1,0.1833333333333333,0.2833333333333333,Ocupaciones elementales,Shelf fillers
Costa Rica,Resto,9520,8112.0,101,0.1666666666666667,0.25,0.4166666666666667,Ocupaciones elementales,Street vendors (excluding food)
Costa Rica,Resto,3344,8111.25,131,0.5875,0.7770833333333333,1.0,Técnicos y profesionales asociados,Medical secretaries
Costa Rica,Resto,4225,7983.0,69,0.581453634085213,0.7393483709273183,1.0,Apoyo administrativo,Enquiry clerks
Costa Rica,Resto,5244,7838.0,94,0.5833333333333334,0.7916666666666666,1.0,Servicios y ventas,Contact centre salespersons
Costa Rica,Resto,7233,7674.0,121,0.065213644380311,0.1366683202733927,0.2018819646537037,Oficios y artesanía,Agricultural and industrial machinery mechanics and repairers
Costa Rica,Resto,7412,7570.75,91,0.1220976314834875,0.1976393829495566,0.3197370144330442,Oficios y artesanía,Electrical mechanics and fitters
Costa Rica,Resto,7317,7533.75,76,0.0,0.2666666666666667,0.2666666666666667,Oficios y artesanía,"Handicraft workers in wood, basketry and related materials"
Costa Rica,Resto,3435,7185.0,68,0.1929302422723474,0.3068870091896408,0.4998172514619883,Técnicos y profesionales asociados,Other artistic and cultural associate professionals
Costa Rica,Resto,9411,6948.75,132,0.0,0.0,0.0,Ocupaciones elementales,Fast food preparers
Costa Rica,Resto,4211,6798.75,73,0.2610837438423645,0.4597701149425287,0.7208538587848932,Apoyo administrativo,Bank tellers and related clerks
Costa Rica,Resto,3312,6591.0,67,0.2304347826086956,0.5960144927536233,0.8264492753623189,Técnicos y profesionales asociados,Credit and loans officers
Costa Rica,Resto,3122,6306.75,65,0.15,0.4,0.55,Técnicos y profesionales asociados,Manufacturing supervisors
Costa Rica,Resto,7511,6171.75,90,0.0333333333333333,0.0541666666666666,0.0875,Oficios y artesanía,"Butchers, fishmongers and related food preparers"
Costa Rica,Resto,9333,6062.0,132,0.0942408189048726,0.1890989749332414,0.2833397938381141,Ocupaciones elementales,Freight handlers
Costa Rica,Resto,2141,6040.75,48,0.1847826086956522,0.5543478260869565,0.7391304347826088,Profesionales e ingeniería,Industrial and production engineers
Costa Rica,Resto,2413,6005.0,72,0.0610219845513963,0.5142968142968143,0.5753187988482106,Profesionales e ingeniería,Financial analysts
Costa Rica,Resto,4311,5891.75,75,0.6333333333333333,0.7833333333333333,1.0,Apoyo administrativo,Accounting and bookkeeping clerks
Costa Rica,Resto,8341,5695.25,144,0.1111111111111111,0.1111111111111111,0.2222222222222222,Operadores de planta y máquinas,Mobile farm and forestry plant operators
Costa Rica,Resto,2142,5640.0,42,0.056338028169014,0.4859154929577465,0.5422535211267606,Profesionales e ingeniería,Civil engineers
Costa Rica,Resto,7132,5604.5,81,0.0333333333333333,0.05,0.0833333333333333,Oficios y artesanía,Spray painters and varnishers
