capa,termino,categoria,anuncios,total_capa,share
Planta y operación,Bilingüe,Idioma,1404,163726,0.008575302639776211
Planta y operación,5S,Mejora continua y manufactura esbelta,1244,163726,0.0075980601737048485
Planta y operación,Lean manufacturing,Mejora continua y manufactura esbelta,1172,163726,0.007158301063972735
Planta y operación,Analítica de datos,Inteligencia artificial y datos,1160,163726,0.007085007879017383
Planta y operación,Buenas prácticas de manufactura,Sistemas de calidad y regulación,1059,163726,0.006468123572309835
Planta y operación,AutoCAD,Software técnico y de gestión,1052,163726,0.006425369214419213
Planta y operación,PLC,Automatización e industria 4.0,982,163726,0.005997825635512991
Planta y operación,SQL,Software técnico y de gestión,945,163726,0.005771838315233989
Planta y operación,ISO 9001,Sistemas de calidad y regulación,784,163726,0.0047884880837496795
Planta y operación,Power BI / Tableau,Software técnico y de gestión,665,163726,0.004061663999609103
Planta y operación,TPM,Mejora continua y manufactura esbelta,542,163726,0.0033104088538167425
Planta y operación,ISO 14001,Sistemas de calidad y regulación,533,163726,0.0032554389651002283
Planta y operación,Python,Software técnico y de gestión,527,163726,0.0032187923726225524
Planta y operación,Six Sigma,Mejora continua y manufactura esbelta,478,163726,0.0029195118673881974
Planta y operación,"Core tools (APQP, PPAP, MSA)",Sistemas de calidad y regulación,423,163726,0.0025835847696761664
Planta y operación,AMEF / FMEA,Sistemas de calidad y regulación,318,163726,0.0019422694013168343
Planta y operación,Inteligencia artificial,Inteligencia artificial y datos,307,163726,0.001875083981774428
Planta y operación,Kaizen,Mejora continua y manufactura esbelta,303,163726,0.001850652920122644
Planta y operación,Control estadístico (SPC),Sistemas de calidad y regulación,273,163726,0.0016674199577342633
Planta y operación,Robótica,Automatización e industria 4.0,250,163726,0.001526941353236505
Planta y operación,Kanban,Mejora continua y manufactura esbelta,238,163726,0.0014536481682811526
Planta y operación,SolidWorks,Software técnico y de gestión,232,163726,0.0014170015758034765
Planta y operación,FDA,Sistemas de calidad y regulación,226,163726,0.0013803549833258004
Planta y operación,Machine learning,Inteligencia artificial y datos,195,163726,0.0011910142555244738
Planta y operación,Minitab,Software técnico y de gestión,146,163726,0.0008917337502901189
Planta y operación,ISO 13485,Sistemas de calidad y regulación,123,163726,0.0007512551457923604
Planta y operación,Ciencia de datos,Inteligencia artificial y datos,120,163726,0.0007329318495535224
Planta y operación,IoT,Automatización e industria 4.0,103,163726,0.00062909983753344
Planta y operación,SMED,Mejora continua y manufactura esbelta,81,163726,0.0004947289984486275
Planta y operación,MATLAB / LabVIEW,Software técnico y de gestión,71,163726,0.0004336513443191674
Planta y operación,Industria 4.0,Automatización e industria 4.0,64,163726,0.00039089698642854524
Planta y operación,Regulación de dispositivos médicos,Sistemas de calidad y regulación,43,163726,0.00026263391275667885
Planta y operación,SCADA,Automatización e industria 4.0,41,163726,0.00025041838193078683
Planta y operación,CATIA,Software técnico y de gestión,26,163726,0.0001588019007365965
Planta y operación,Herramientas de IA generativa,Inteligencia artificial y datos,9,163726,5.496988871651417e-05
Planta y operación,Visión artificial,Automatización e industria 4.0,7,163726,4.275435789062214e-05
